plant_name,plant_height,plant_width,plant_length,plant_area,leaf_count,avg_leaf_area,rgb_path
lettuce,0.118327,0.0960836,0.0686492,0.00308061,9,0.00034229,/home/arif/Desktop/ExampleImages/LettuceRGBD/rgb_20240301_055559_120_350_0.png
lettuce,0.147376,0.0749763,0.0752494,0.00220956,5,0.000441912,/home/arif/Desktop/ExampleImages/LettuceRGBD/rgb_20240301_115548_120_350_0.png
lettuce,0.0914616,0.0775802,0.0533423,0.00188318,5,0.000376637,/home/arif/Desktop/ExampleImages/LettuceRGBD/rgb_20240301_175534_120_350_0.png
lettuce,0.139741,0.079074,0.0632424,0.00275488,5,0.000550975,/home/arif/Desktop/ExampleImages/LettuceRGBD/rgb_20240303_180604_120_350_0.png
lettuce,0.144794,0.0576326,0.0544162,0.00185894,6,0.000309824,/home/arif/Desktop/ExampleImages/LettuceRGBD/rgb_20240303_182858_120_350_0.png
lettuce,0.130989,0.0456542,0.0573601,0.00168107,6,0.000280178,/home/arif/Desktop/ExampleImages/LettuceRGBD/rgb_20240303_191041_120_350_0.png
lettuce,0.101835,0.0855403,0.0698175,0.00304962,5,0.000609925,/home/arif/Desktop/ExampleImages/LettuceRGBD/rgb_20240304_000551_120_350_0.png
lettuce,0.0808125,0.0497572,0.0536413,0.00115693,6,0.000192821,/home/arif/Desktop/ExampleImages/LettuceRGBD/rgb_20240304_060532_120_350_0.png
lettuce,0.143132,0.0572218,0.0651042,0.00170399,5,0.000340798,/home/arif/Desktop/ExampleImages/LettuceRGBD/rgb_20240304_120603_120_350_0.png
lettuce,0.0853538,0.0680309,0.0587916,0.00196797,6,0.000327996,/home/arif/Desktop/ExampleImages/LettuceRGBD/rgb_20240304_180545_120_350_0.png
lettuce,0.0741593,0.0617162,0.0598072,0.0017965,6,0.000299416,/home/arif/Desktop/ExampleImages/LettuceRGBD/rgb_20240305_000524_120_350_0.png
lettuce,0.14418,0.0538055,0.0627789,0.00178456,6,0.000297427,/home/arif/Desktop/ExampleImages/LettuceRGBD/rgb_20240305_060554_120_350_0.png
lettuce,0.312356,0.0737278,0.0687219,0.00258497,4,0.000646243,/home/arif/Desktop/ExampleImages/LettuceRGBD/rgb_20240305_120535_120_350_0.png
lettuce,0.234933,0.0517416,0.0629257,0.00152049,6,0.000253415,/home/arif/Desktop/ExampleImages/LettuceRGBD/rgb_20240305_180606_120_350_0.png
lettuce,0.135841,0.056998,0.0640387,0.001566,8,0.000195749,/home/arif/Desktop/ExampleImages/LettuceRGBD/rgb_20240306_000544_120_350_0.png
lettuce,0.139589,0.0585188,0.0632995,0.00162207,7,0.000231725,/home/arif/Desktop/ExampleImages/LettuceRGBD/rgb_20240306_060525_120_350_0.png
lettuce,0.130159,0.0654341,0.060679,0.00133933,6,0.000223221,/home/arif/Desktop/ExampleImages/LettuceRGBD/rgb_20240306_120554_120_350_0.png
lettuce,0.109699,0.065159,0.063822,0.00176784,6,0.00029464,/home/arif/Desktop/ExampleImages/LettuceRGBD/rgb_20240306_180613_120_350_0.png
lettuce,0.0941563,0.052852,0.0655184,0.00139759,7,0.000199655,/home/arif/Desktop/ExampleImages/LettuceRGBD/rgb_20240307_000552_120_350_0.png
lettuce,0.0757412,0.0651086,0.0632023,0.00142185,5,0.00028437,/home/arif/Desktop/ExampleImages/LettuceRGBD/rgb_20240307_060533_120_350_0.png
lettuce,0.374788,0.0649391,0.0660455,0.00154881,6,0.000258134,/home/arif/Desktop/ExampleImages/LettuceRGBD/rgb_20240307_120602_120_350_0.png
lettuce,0.0874076,0.092281,0.0777807,0.00270808,7,0.000386869,/home/arif/Desktop/ExampleImages/LettuceRGBD/rgb_20240307_180543_120_350_0.png
lettuce,0.0893281,0.0920845,0.0814146,0.00291945,8,0.000364931,/home/arif/Desktop/ExampleImages/LettuceRGBD/rgb_20240308_000524_120_350_0.png
lettuce,0.109035,0.0918031,0.0880623,0.00311776,7,0.000445395,/home/arif/Desktop/ExampleImages/LettuceRGBD/rgb_20240308_060557_120_350_0.png
lettuce,0.122892,0.105261,0.0886457,0.00336242,7,0.000480346,/home/arif/Desktop/ExampleImages/LettuceRGBD/rgb_20240308_120537_120_350_0.png
lettuce,0.133569,0.125736,0.0977665,0.00776797,8,0.000970997,/home/arif/Desktop/ExampleImages/LettuceRGBD/rgb_20240308_180608_120_350_0.png
lettuce,0.169605,0.100098,0.0886611,0.00451154,5,0.000902308,/home/arif/Desktop/ExampleImages/LettuceRGBD/rgb_20240311_180037_120_350_0.png
lettuce,0.125142,0.0985082,0.0921971,0.00439034,4,0.00109758,/home/arif/Desktop/ExampleImages/LettuceRGBD/rgb_20240312_000108_120_350_0.png
lettuce,0.135754,0.0986605,0.0936675,0.0047752,6,0.000795867,/home/arif/Desktop/ExampleImages/LettuceRGBD/rgb_20240312_060048_120_350_0.png
lettuce,0.157364,0.0983336,0.104821,0.00484696,7,0.000692422,/home/arif/Desktop/ExampleImages/LettuceRGBD/rgb_20240312_120030_120_350_0.png
lettuce,0.15916,0.103267,0.101389,0.00481305,4,0.00120326,/home/arif/Desktop/ExampleImages/LettuceRGBD/rgb_20240312_180102_120_350_0.png
lettuce,0.17362,0.0752352,0.0690055,0.00258993,10,0.000258993,/home/arif/Desktop/ExampleImages/LettuceRGBD/rgb_20240313_000044_120_350_0.png
lettuce,0.177513,0.0891383,0.0745221,0.00302747,10,0.000302747,/home/arif/Desktop/ExampleImages/LettuceRGBD/rgb_20240313_060024_120_350_0.png
lettuce,0.166641,0.0781395,0.0662841,0.00241898,8,0.000302373,/home/arif/Desktop/ExampleImages/LettuceRGBD/rgb_20240313_120053_120_350_0.png
lettuce,0.164704,0.0865949,0.0722767,0.00304082,6,0.000506804,/home/arif/Desktop/ExampleImages/LettuceRGBD/rgb_20240313_180040_120_350_0.png
lettuce,0.183845,0.106048,0.0567394,0.00350121,6,0.000583534,/home/arif/Desktop/ExampleImages/LettuceRGBD/rgb_20240314_000110_120_350_0.png
lettuce,0.149115,0.0805791,0.0716421,0.0027626,8,0.000345325,/home/arif/Desktop/ExampleImages/LettuceRGBD/rgb_20240314_060050_120_350_0.png
lettuce,0.15493,0.0764146,0.0712529,0.0029381,6,0.000489684,/home/arif/Desktop/ExampleImages/LettuceRGBD/rgb_20240314_120030_120_350_0.png
